
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      60000, Nsync-hyd:          0
Sync-Point 193, Time: 0.282715, Systemstep: 0.00146484, Nsync-grv:      15585, Nsync-hyd:          0

Sync-Point 194, Time: 0.28418, Systemstep: 0.00146484, Nsync-grv:      32565, Nsync-hyd:          0

Sync-Point 195, Time: 0.285645, Systemstep: 0.00146484, Nsync-grv:      15580, Nsync-hyd:          0

Sync-Point 196, Time: 0.287109, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 197, Time: 0.288574, Systemstep: 0.00146484, Nsync-grv:      15592, Nsync-hyd:          0

Sync-Point 198, Time: 0.290039, Systemstep: 0.00146484, Nsync-grv:      32583, Nsync-hyd:          0

Sync-Point 199, Time: 0.291504, Systemstep: 0.00146484, Nsync-grv:      15591, Nsync-hyd:          0

Sync-Point 200, Time: 0.292969, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 201, Time: 0.294434, Systemstep: 0.00146484, Nsync-grv:      15603, Nsync-hyd:          0

Sync-Point 202, Time: 0.295898, Systemstep: 0.00146484, Nsync-grv:      32607, Nsync-hyd:          0

Sync-Point 203, Time: 0.297363, Systemstep: 0.00146484, Nsync-grv:      15642, Nsync-hyd:          0

Sync-Point 204, Time: 0.298828, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 205, Time: 0.300293, Systemstep: 0.00146484, Nsync-grv:      15660, Nsync-hyd:          0

Sync-Point 206, Time: 0.301758, Systemstep: 0.00146484, Nsync-grv:      32650, Nsync-hyd:          0

Sync-Point 207, Time: 0.303223, Systemstep: 0.00146484, Nsync-grv:      15669, Nsync-hyd:          0

Sync-Point 208, Time: 0.304688, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 209, Time: 0.306152, Systemstep: 0.00146484, Nsync-grv:      15680, Nsync-hyd:          0

Sync-Point 210, Time: 0.307617, Systemstep: 0.00146484, Nsync-grv:      32680, Nsync-hyd:          0

Sync-Point 211, Time: 0.309082, Systemstep: 0.00146484, Nsync-grv:      15679, Nsync-hyd:          0

Sync-Point 212, Time: 0.310547, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 213, Time: 0.312012, Systemstep: 0.00146484, Nsync-grv:      15675, Nsync-hyd:          0

Sync-Point 214, Time: 0.313477, Systemstep: 0.00146484, Nsync-grv:      32696, Nsync-hyd:          0

Sync-Point 215, Time: 0.314941, Systemstep: 0.00146484, Nsync-grv:      15671, Nsync-hyd:          0

Sync-Point 216, Time: 0.316406, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 217, Time: 0.317871, Systemstep: 0.00146484, Nsync-grv:      15665, Nsync-hyd:          0

Sync-Point 218, Time: 0.319336, Systemstep: 0.00146484, Nsync-grv:      32726, Nsync-hyd:          0

Sync-Point 219, Time: 0.320801, Systemstep: 0.00146484, Nsync-grv:      15670, Nsync-hyd:          0

Sync-Point 220, Time: 0.322266, Systemstep: 0.00146484, Nsync-grv:      60000, Nsync-hyd:          0

Sync-Point 221, Time: 0.32373, Systemstep: 0.00146484, Nsync-grv:      15702, Nsync-hyd:          0

Sync-Point 222, Time: 0.325195, Systemstep: 0.00146484, Nsync-grv:      32751, Nsync-hyd:          0

Sync-Point 223, Time: 0.32666, Systemstep: 0.00146484, Nsync-grv:      15723, Nsync-hyd:          0

