
Step(*): 0, t: 0, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step: 159, t: 0.23291, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 160, t: 0.234375, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 161, t: 0.23584, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 162, t: 0.237305, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 163, t: 0.23877, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 164, t: 0.240234, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 165, t: 0.241699, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 166, t: 0.243164, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 167, t: 0.244629, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 168, t: 0.246094, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 169, t: 0.247559, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 170, t: 0.249023, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 171, t: 0.250488, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 172, t: 0.251953, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 173, t: 0.253418, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 174, t: 0.254883, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 175, t: 0.256348, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 176, t: 0.257812, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 177, t: 0.259277, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 178, t: 0.260742, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 179, t: 0.262207, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 180, t: 0.263672, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 181, t: 0.265137, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 182, t: 0.266602, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 183, t: 0.268066, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step(*): 184, t: 0.269531, dt: 0.00146484, highest active timebin: 20  (lowest active: 18, highest occupied: 20)

Step: 185, t: 0.270996, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

Step: 186, t: 0.272461, dt: 0.00146484, highest active timebin: 19  (lowest active: 18, highest occupied: 20)

Step: 187, t: 0.273926, dt: 0.00146484, highest active timebin: 18  (lowest active: 18, highest occupied: 20)

